BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,number_of_activities,ratio_parking,ratio_building,ratio_dominant_use,building_age,supericie_by_building,superficie_by_activity
SPS-District K-12,K-12 School,5,NORTH,47.70763,-122.29453,1.0,2,12.374793801396114,0,236758,15.938489025401065,5.4061847374170435,2,0.0,1.0,1.0075689100262715,5,118379.0,118379.0
NonResidential,Other,3,CENTRAL,47.60462,-122.31549,3.0,6,12.433132518037587,0,250981,16.38596014600217,6.0459290578693885,2,0.0,1.0,0.5481092194229842,45,41830.166666666664,125490.5
SPS-District K-12,K-12 School,6,NORTHWEST,47.68725,-122.35996,1.0,3,11.043337749220482,0,62526,14.501680894349537,3.9902795033939134,1,0.0,1.0,1.0,14,20842.0,62526.0
NonResidential,Other,7,DOWNTOWN,47.61598,-122.33448,1.0,11,12.60843293868486,68432,230638,17.99506874329554,7.628430074104318,1,0.22881599625505736,0.7711840037449427,0.8359246999030328,12,20967.090909090908,299070.0
NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.536,-122.31768,1.0,3,11.066872709880279,0,64015,14.991724963100001,3.9035875266070446,3,0.0,1.0,0.46864016246192297,9,21338.333333333332,21338.333333333332
NonResidential,Retail Store,5,NORTH,47.70759,-122.3255,1.0,1,13.18070586772673,0,530039,17.137557728004225,6.58405908011163,2,0.0,1.0,0.9529544052418785,65,530039.0,265019.5
NonResidential,Other,5,NORTH,47.7066,-122.321,1.0,3,10.900878893846832,0,54224,15.798603355718722,5.444709454763107,1,0.0,1.0,0.8669961640601948,52,18074.666666666668,54224.0
NonResidential,Retail Store,5,NORTH,47.70619,-122.32586,1.0,4,11.73079111262239,0,124342,15.986388650261187,4.194189897191817,1,0.0,1.0,0.9811648517797688,51,31085.5,124342.0
NonResidential,Hospital,4,NORTHEAST,47.66231,-122.28146,6.0,10,13.686540176667314,0,879000,19.352185016806082,9.005223361846651,1,0.0,1.0,1.0,63,87900.0,879000.0
NonResidential,Other,5,NORTHWEST,47.70956,-122.3345,1.0,3,10.923092708249172,0,55442,14.97591643200344,4.4272389774954295,3,0.0,1.0,0.5165037336315429,20,18480.666666666668,18480.666666666668
SPS-District K-12,K-12 School,6,BALLARD,47.67661,-122.37489,1.0,2,12.399972744874715,0,242795,16.030045552866483,4.81794011687474,1,0.0,1.0,1.0,17,121397.5,242795.0
NonResidential,Self-Storage Facility,3,EAST,47.61233,-122.3171,1.0,5,11.348875952963722,0,84870,14.138745658278928,3.933980172780188,1,0.0,1.0,1.0076705549664193,106,16974.0,84870.0
Campus,University,5,NORTHWEST,47.69936,-122.33401,11.0,2,13.45033098050535,111625,582447,17.396010610834022,5.893906843513177,1,0.16082625433672587,0.8391737456632741,0.9614780599130925,46,291223.5,694072.0
SPS-District K-12,K-12 School,2,SOUTHEAST,47.54632,-122.28198,1.0,2,12.062115666279205,0,173185,15.628341701848347,5.490424224076788,1,0.0,1.0,1.0,64,86592.5,173185.0
SPS-District K-12,K-12 School,1,DELRIDGE,47.54862,-122.36214,1.0,1,11.886837984565286,0,145341,15.520094454905207,5.327924711300694,1,0.0,1.0,0.9568463131532052,53,145341.0,145341.0
NonResidential,Warehouse,2,GREATER DUWAMISH,47.55152,-122.31869,1.0,4,11.64655560271929,0,114297,14.557494449229392,4.240463070352095,1,0.0,1.0,1.0,112,28574.25,114297.0
SPS-District K-12,K-12 School,2,SOUTHEAST,47.52407,-122.26586,1.0,2,12.123370153764931,0,184125,15.990295460716112,5.795966561197395,1,0.0,1.0,1.0,56,92062.5,184125.0
NonResidential,Warehouse,2,GREATER DUWAMISH,47.55901,-122.33328,1.0,1,12.363691589683757,0,234144,15.724210782304098,5.6951789031820335,1,0.0,1.0,1.0,79,234144.0,234144.0
NonResidential,Retail Store,1,DELRIDGE,47.52254,-122.36627,1.0,1,11.08189636473079,0,64984,14.895380382164946,3.5773890780805733,1,0.0,1.0,1.0067862858549796,50,64984.0,64984.0
NonResidential,Retail Store,1,DELRIDGE,47.52254,-122.36627,1.0,1,11.123505935280532,0,67745,16.037993766533873,5.911175975879146,1,0.0,1.0,1.0005461657686914,51,67745.0,67745.0
